epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1310.95,0.52801,0.76102,0.42393,0.86075,0.9898,0.9835,0.99412,0.8988,0.98088,0.9721,0.98589,0.79438,0.49778,0.64853,0.38647,0.86563,0.00083961,0.00083961,0.00083961
69,1330.41,0.52423,0.75848,0.42684,0.86074,0.98855,0.97925,0.99354,0.8934,0.98141,0.96622,0.98538,0.79094,0.48981,0.64011,0.39386,0.85822,0.000824978,0.000824978,0.000824978
70,1348.8,0.5347,0.76603,0.4244,0.86317,0.98578,0.97856,0.99356,0.90092,0.97705,0.96275,0.98191,0.78801,0.47274,0.64743,0.38249,0.85671,0.0008103,0.0008103,0.0008103
71,1368.96,0.50112,0.73079,0.40914,0.85557,0.98654,0.98229,0.99414,0.90523,0.9869,0.97269,0.98846,0.80049,0.45502,0.61664,0.36638,0.84449,0.000795584,0.000795584,0.000795584
72,1387.95,0.52445,0.76629,0.42342,0.86239,0.98629,0.98737,0.99391,0.90622,0.97741,0.97874,0.98805,0.80324,0.46171,0.6306,0.37337,0.85095,0.000780835,0.000780835,0.000780835
73,1407.62,0.51471,0.70739,0.40983,0.86124,0.98293,0.97866,0.99374,0.90044,0.96919,0.97217,0.98639,0.78893,0.46882,0.62229,0.37845,0.85535,0.00076606,0.00076606,0.00076606
74,1426.41,0.53305,0.74795,0.42301,0.86487,0.98011,0.98033,0.9935,0.90776,0.9761,0.96941,0.98771,0.79563,0.45306,0.63291,0.37332,0.84659,0.000751266,0.000751266,0.000751266
75,1446.14,0.48913,0.69958,0.40041,0.85068,0.98676,0.98498,0.99453,0.91487,0.98766,0.96708,0.98688,0.80006,0.4501,0.61452,0.36355,0.84603,0.000736459,0.000736459,0.000736459
76,1464.73,0.5045,0.72793,0.41027,0.85741,0.98379,0.98629,0.99417,0.9063,0.99146,0.96811,0.98851,0.79689,0.46045,0.61873,0.37302,0.84955,0.000721645,0.000721645,0.000721645
77,1484.81,0.49766,0.72452,0.40563,0.85751,0.98371,0.98948,0.99428,0.91406,0.97527,0.98101,0.98875,0.80204,0.43773,0.61193,0.36283,0.84339,0.000706831,0.000706831,0.000706831
78,1502.39,0.4974,0.72115,0.39954,0.85037,0.98514,0.98773,0.99434,0.90938,0.97577,0.97173,0.98821,0.79597,0.4488,0.61185,0.36435,0.85134,0.000692024,0.000692024,0.000692024
79,1522.66,0.5045,0.73146,0.40591,0.85832,0.98204,0.98485,0.99429,0.91254,0.97521,0.97818,0.99008,0.79591,0.44703,0.62094,0.36539,0.84615,0.00067723,0.00067723,0.00067723
80,1541.88,0.51199,0.74037,0.40892,0.86142,0.9828,0.97846,0.99351,0.91414,0.97242,0.96381,0.98402,0.79364,0.44572,0.63722,0.36848,0.8459,0.000662455,0.000662455,0.000662455
81,1560.87,0.49362,0.70815,0.39899,0.85617,0.99018,0.98245,0.99431,0.91661,0.98839,0.96878,0.9877,0.80552,0.44241,0.60815,0.355,0.84529,0.000647706,0.000647706,0.000647706
82,1579.83,0.48824,0.73735,0.39629,0.85236,0.98711,0.9824,0.99379,0.91825,0.9815,0.96907,0.98777,0.80305,0.42703,0.59624,0.35444,0.8389,0.00063299,0.00063299,0.00063299
83,1599.74,0.49417,0.71205,0.39835,0.85499,0.98162,0.98796,0.99458,0.90978,0.98076,0.97672,0.98797,0.80164,0.44369,0.63304,0.35861,0.84282,0.000618312,0.000618312,0.000618312
84,1619.01,0.48693,0.70809,0.39438,0.84878,0.99007,0.9824,0.99459,0.92258,0.99168,0.97146,0.98964,0.81052,0.4173,0.58678,0.34888,0.834,0.00060368,0.00060368,0.00060368
85,1638.54,0.47125,0.6866,0.38087,0.84547,0.98425,0.98287,0.99412,0.91844,0.9849,0.96559,0.98901,0.80943,0.42837,0.58194,0.35082,0.83581,0.0005891,0.0005891,0.0005891
86,1657.41,0.4913,0.71903,0.39622,0.85343,0.99093,0.9834,0.9945,0.91911,0.98389,0.97571,0.99074,0.80699,0.42775,0.58932,0.35512,0.84406,0.000574578,0.000574578,0.000574578
87,1676.96,0.4659,0.66513,0.38086,0.84807,0.99196,0.98926,0.99451,0.91685,0.9823,0.97997,0.98665,0.80876,0.41589,0.56874,0.34707,0.83355,0.00056012,0.00056012,0.00056012
88,1696.17,0.48973,0.71749,0.39463,0.85645,0.99079,0.98466,0.99455,0.92163,0.98415,0.97183,0.98605,0.80587,0.41158,0.57769,0.34413,0.83268,0.000545733,0.000545733,0.000545733
89,1714.15,0.45938,0.67184,0.37807,0.84445,0.98843,0.9841,0.99438,0.92532,0.98164,0.97519,0.98841,0.81478,0.40908,0.57847,0.34549,0.83392,0.000531423,0.000531423,0.000531423
90,1733.15,0.45381,0.65682,0.37728,0.83853,0.99251,0.98824,0.99457,0.922,0.98524,0.97458,0.98807,0.80526,0.4194,0.58142,0.34695,0.84258,0.000517197,0.000517197,0.000517197
91,1752.26,0.46587,0.67967,0.38023,0.8447,0.99459,0.98547,0.99453,0.918,0.99413,0.97177,0.98903,0.8059,0.42604,0.59687,0.34532,0.84112,0.00050306,0.00050306,0.00050306
92,1772.18,0.45847,0.65188,0.37624,0.83943,0.994,0.98442,0.99459,0.92039,0.99502,0.9721,0.98907,0.81511,0.41817,0.57036,0.34176,0.83509,0.00048902,0.00048902,0.00048902
93,1791.51,0.4619,0.64911,0.37408,0.84677,0.99465,0.98577,0.99455,0.92219,0.9907,0.97715,0.989,0.80507,0.42481,0.57114,0.34279,0.84328,0.000475081,0.000475081,0.000475081
94,1810.71,0.46089,0.66141,0.37596,0.84809,0.99224,0.98981,0.99464,0.92334,0.982,0.97971,0.98808,0.80766,0.40767,0.55498,0.33671,0.83326,0.00046125,0.00046125,0.00046125
95,1829.97,0.47065,0.68866,0.38269,0.84693,0.99151,0.98484,0.99465,0.9278,0.98971,0.9691,0.98847,0.81667,0.40052,0.55761,0.33348,0.83072,0.000447534,0.000447534,0.000447534
96,1849.39,0.467,0.68405,0.37791,0.85384,0.98985,0.98231,0.99432,0.93067,0.9832,0.97557,0.98902,0.8166,0.39233,0.56052,0.33393,0.82711,0.000433938,0.000433938,0.000433938
97,1869.02,0.4589,0.68854,0.3708,0.84477,0.99292,0.9862,0.99467,0.93062,0.99405,0.97416,0.98981,0.81486,0.39145,0.55032,0.32731,0.82842,0.000420468,0.000420468,0.000420468
98,1888.05,0.4496,0.64926,0.37032,0.84157,0.99263,0.98556,0.99457,0.92719,0.986,0.97233,0.9883,0.81266,0.39312,0.54962,0.33419,0.82745,0.00040713,0.00040713,0.00040713
99,1907.76,0.45698,0.67462,0.37208,0.8407,0.99041,0.98289,0.99437,0.9242,0.98927,0.96542,0.98576,0.80209,0.40609,0.5519,0.34056,0.83515,0.00039393,0.00039393,0.00039393
100,1927.24,0.44761,0.6503,0.36301,0.84108,0.99158,0.98545,0.99457,0.92846,0.98318,0.97819,0.99035,0.81814,0.39888,0.54711,0.3277,0.82996,0.000380874,0.000380874,0.000380874
101,1945.32,0.43786,0.63995,0.35699,0.83775,0.99207,0.98399,0.99448,0.93187,0.983,0.97796,0.99027,0.82058,0.3912,0.54271,0.32554,0.82566,0.000367967,0.000367967,0.000367967
102,1965.52,0.43453,0.64402,0.35717,0.83811,0.98986,0.98941,0.9946,0.93062,0.98418,0.97971,0.99028,0.82001,0.39083,0.54137,0.32609,0.82513,0.000355216,0.000355216,0.000355216
103,1984.26,0.45309,0.64487,0.37267,0.84398,0.99343,0.98633,0.99473,0.93182,0.98636,0.9796,0.98943,0.8203,0.38775,0.54383,0.32944,0.8282,0.000342625,0.000342625,0.000342625
104,2004.31,0.44038,0.63709,0.36292,0.84457,0.99305,0.98483,0.99463,0.93288,0.98428,0.98061,0.98925,0.82086,0.38788,0.54175,0.32292,0.82633,0.000330201,0.000330201,0.000330201
105,2024.25,0.43691,0.64319,0.35787,0.83722,0.99753,0.98779,0.99477,0.93402,0.99096,0.97471,0.9899,0.81387,0.39322,0.53273,0.3254,0.83172,0.000317948,0.000317948,0.000317948
106,2043.25,0.45588,0.67404,0.36971,0.84807,0.99543,0.98917,0.9948,0.93787,0.98882,0.97371,0.98925,0.81968,0.37345,0.53518,0.31866,0.82549,0.000305872,0.000305872,0.000305872
107,2063.14,0.44424,0.65981,0.36486,0.84243,0.99541,0.98853,0.99474,0.93571,0.9852,0.97809,0.98967,0.82277,0.38241,0.53015,0.31958,0.82489,0.000293979,0.000293979,0.000293979
108,2082.06,0.44034,0.63822,0.36038,0.84023,0.99731,0.98317,0.99424,0.93571,0.98805,0.97498,0.98898,0.82254,0.38014,0.53754,0.31914,0.82317,0.000282273,0.000282273,0.000282273
109,2101.65,0.42727,0.62557,0.34871,0.83638,0.99336,0.9856,0.99461,0.93866,0.99533,0.96965,0.98875,0.82381,0.37045,0.52496,0.31694,0.82221,0.00027076,0.00027076,0.00027076
110,2120.88,0.44087,0.6537,0.35549,0.83671,0.99427,0.98711,0.99479,0.93736,0.99199,0.97695,0.98991,0.82533,0.37485,0.52008,0.31243,0.82207,0.000259445,0.000259445,0.000259445
111,2140.79,0.42839,0.62324,0.35293,0.84065,0.99275,0.98833,0.99481,0.94025,0.9843,0.98074,0.99033,0.8287,0.36882,0.51285,0.31241,0.82026,0.000248332,0.000248332,0.000248332
112,2160.49,0.42359,0.63765,0.3492,0.83197,0.99526,0.988,0.99479,0.93762,0.99754,0.9732,0.98976,0.82183,0.3724,0.51331,0.31249,0.82303,0.000237427,0.000237427,0.000237427
113,2180.13,0.42152,0.60854,0.3497,0.83131,0.99797,0.98627,0.99478,0.93958,0.99264,0.9766,0.98987,0.82306,0.36711,0.51298,0.31025,0.82147,0.000226735,0.000226735,0.000226735
114,2198.89,0.42644,0.63798,0.35333,0.83908,0.98935,0.99429,0.99477,0.94071,0.98334,0.98824,0.99141,0.83149,0.36794,0.51795,0.3105,0.82028,0.000216259,0.000216259,0.000216259
115,2218.72,0.41757,0.62776,0.34439,0.83348,0.99655,0.98505,0.99481,0.94168,0.99486,0.97185,0.98925,0.83292,0.36114,0.51287,0.30714,0.82023,0.000206005,0.000206005,0.000206005
116,2237.95,0.42474,0.63068,0.34747,0.83693,0.99364,0.98889,0.99481,0.9403,0.98251,0.9837,0.99072,0.83582,0.36872,0.51328,0.30776,0.82079,0.000195978,0.000195978,0.000195978
117,2257.89,0.4312,0.63091,0.35255,0.83916,0.99447,0.98949,0.9948,0.94398,0.99014,0.97512,0.99189,0.82936,0.35951,0.51888,0.30755,0.81949,0.000186181,0.000186181,0.000186181
118,2277.05,0.43474,0.65078,0.35249,0.83969,0.99599,0.98846,0.99486,0.94676,0.99644,0.97136,0.99104,0.82804,0.35457,0.50817,0.30364,0.81867,0.000176619,0.000176619,0.000176619
